0417: Einst_SuBw25_zeit_0_1 
0418: Einst_SuBw25_zeit_1_0 
0419: Einst_SuBw25_zeit_1_1 
0420: Einst_SuBw25_zeit_2_0 
0421: Einst_SuBw25_zeit_2_1 
0422: Einst_SuBw25_zeit_3_0 
0423: Einst_SuBw25_zeit_3_1 
0424: Einst_SuBw25_zeit_4_0 
0425: Einst_SuBw25_zeit_4_1 
0426: Einst_SuBw25_zeit_0_2 
0427: Einst_SuBw25_zeit_0_3 
0428: Einst_SuBw25_zeit_1_2 
0429: Einst_SuBw25_zeit_1_3 
0430: Einst_SuBw25_zeit_2_2 
0431: Einst_SuBw25_zeit_2_3 
0432: Einst_SuBw25_zeit_3_2 
0433: Einst_SuBw25_zeit_3_3 
0434: Einst_SuBw25_zeit_4_2 
0435: Einst_SuBw25_zeit_4_3 
0436: Einst_SuBwTG_zeit_0_0 
0437: Einst_SuBwTG_zeit_0_1 
0438: Einst_SuBwTG_zeit_1_0 
0439: Einst_SuBwTG_zeit_1_1 
0440: Einst_SuBwTG_zeit_2_0 
0441: Einst_SuBwTG_zeit_2_1 
0442: Einst_SuBwTG_zeit_3_0 
0443: Einst_SuBwTG_zeit_3_1 
0444: Einst_SuBwTG_zeit_4_0 
0445: Einst_SuBwTG_zeit_4_1 
0446: Einst_SuBwTG_zeit_0_2 
0447: Einst_SuBwTG_zeit_0_3 
0448: Einst_SuBwTG_zeit_1_2 
0449: Einst_SuBwTG_zeit_1_3 
0450: Einst_SuBwTG_zeit_2_2 
0451: Einst_SuBwTG_zeit_2_3 
0452: Einst_SuBwTG_zeit_3_2 
0453: Einst_SuBwTG_zeit_3_3 
0454: Einst_SuBwTG_zeit_4_2 
0455: Einst_SuBwTG_zeit_4_3 
0456: Einst_SuBwTG_zeit_0_4 
0457: Einst_SuBwTG_zeit_0_5 
0458: Einst_SuBwTG_zeit_1_4 
0459: Einst_SuBwTG_zeit_1_5 
0460: Einst_SuBwTG_zeit_2_4 
0461: Einst_SuBwTG_zeit_2_5 
0462: Einst_SuBwTG_zeit_3_4 
0463: Einst_SuBwTG_zeit_3_5 
0464: Einst_SuBwTG_zeit_4_4 
0465: Einst_SuBwTG_zeit_4_5 
0466: Einst_SuBwTG_zeit_0_6 
0467: Einst_SuBwTG_zeit_0_7 
0468: Einst_SuBwTG_zeit_1_6 
0469: Einst_SuBwTG_zeit_1_7 
0470: Einst_SuBwTG_zeit_2_6 
0471: Einst_SuBwTG_zeit_2_7 
